Mira, 33; 149.1; 3; 71748; 0; 0
Belaya, 25; 36.0; 1; 165828; 0; 1
Mira, 3; 258.5; 3; 171032; 0; 1
Lesnaya, 22; 91.6; 3; 138570; 0; 1
Flotskaya, 32; 67.2; 1; 183699; 1; 1994; 3; 1; 1
Baumanskaya, 24; 196.7; 2; 256534; 1; 1963; 2; 1; 0
Romanova, 1; 248.7; 3; 203435; 1; 1983; 4; 3; 0
Lomonosova, 37; 60.1; 1; 248534; 1; 2004; 3; 5; 0
Mira, 30; 31.2; 1; 165883; 1; 1995; 3; 4; 0
Druzhby, 19; 138.1; 3; 270911; 0; 1
Lesnaya, 26; 202.8; 3; 237841; 0; 0
Baumanskaya, 22; 124.7; 2; 125696; 0; 1
Baumanskaya, 31; 23.3; 1; 148099; 1; 1955; 4; 6; 1
Suzdalskaya, 37; 232.3; 3; 239189; 0; 1
Mira, 25; 247.9; 3; 164308; 0; 1
Flotskaya, 30; 133.1; 1; 180629; 1; 1950; 1; 1; 1
Flotskaya, 33; 193.0; 2; 281469; 0; 1
Romanova, 12; 88.0; 1; 249492; 0; 1
Druzhby, 40; 121.8; 1; 240125; 1; 1997; 2; 1; 0
Romanova, 9; 92.4; 1; 196795; 0; 1
Belaya, 22; 275.7; 7; 229535; 0; 1
Druzhby, 26; 63.4; 2; 270906; 1; 1970; 1; 2; 0
Zhiguley, 23; 157.1; 2; 213584; 0; 1
Stroiteley, 37; 192.4; 2; 171363; 1; 1998; 1; 6; 0
Stroiteley, 40; 128.4; 2; 97125; 1; 1967; 3; 4; 0
Lesnaya, 2; 35.3; 1; 73238; 0; 1
Baumanskaya, 33; 176.2; 2; 118946; 1; 1985; 1; 6; 0
Romanova, 34; 62.3; 1; 150086; 0; 0
Flotskaya, 2; 87.8; 1; 160119; 0; 0
Lomonosova, 16; 222.7; 2; 253711; 1; 1979; 3; 3; 1
Lomonosova, 19; 82.4; 1; 279652; 0; 0
Lomonosova, 18; 275.0; 3; 294173; 0; 0
Zhiguley, 31; 41.6; 1; 120647; 0; 1
