id,name,description,parent,slug
1,Главная,Описание товара...,,main
2,Наркотические вещества,Описание товара...,1,drugs
3,Оружие и боевая техника,Описание товара...,1,weapons
4,Запрещенные вещества,Описание товара...,1,prohibited_substances
5,Опиаты,"Наркотики, обладающие седативным, «затормаживающим» действием. К этой группе относятся природные и синтетические морфиноподобные соединения. Все природные наркотические средства опийной группы получают из мака. Вызывают состояние эйфории, спокойствия, умиротворения.",2,opiates
6,Препараты конопли,"Конопля произрастает в регионах с умеренно теплым климатом. Чем южнее выращено растение, тем больший наркотический эффект вызывает изготовленный из него наркотик. Действующие вещества — каннабиноиды. Воздействие — изменение сознания.",2,cannabis
7,Амфетамины,"Наркотики, обладающие психостимулирующим, «возбуждающим» действием. К этой группе относятся синтетические вещества, содержащие соединения амфетамина. В большинстве случаев вводятся внутривенно. Эти наркотики получают из лекарственных препаратов, содержащих эфедрин (солутан, эфидрина гидрохлорид). В природе эфедрин содержится в растении «эфедра». Действие наркотика продолжается 2–12 часов (в зависимости от типа вещества).",2,amphetamines
8,Кокаин,"Психостимулятор растительного происхождения, получаемый из листьев растения коки. ",2,cocaine
9,Галлюциногены,"Неоднородная по происхождению и химическому составу группа психоделических препаратов, изменяющих сознание — ощущения, мысли, эмоции и восприятие.",2,hallucinogens
10,Экстази,"«Экстази» — общее название для группы синтетических наркотиков-стимуляторов амфетаминной группы, часто с галлюциногенным эффектом. Белые, коричневые, розовые и желтые таблетки или разноцветные, часто с рисунками, капсулы содержат около 150 мг препарата.",2,ecstasy
11,Снотворные,"Группа седативных (успокаивающих) и снотворных веществ, встречающихся в виде официальных препаратов, обычно таблеток («колеса») или капсул.",2,sleeping_pills
12,Героин,"Героин («герыч», «белый», «лошадь», «смак») — наиболее распространенный опийный наркотик. Наряду с очень сильным и ярко выраженным наркотическим эффектом обладает крайне высокой токсичностью и способностью быстро (после 2–3 приемов) формировать физическую зависимость. Героин курят, нюхают и вводят внутривенно.",5,heroin
13,Сырец,"Опий-сырец («ханка», «жмых», «опиуха») — специально обработанный сок растений мака, используется как сырье для приготовления раствора ацетилированного опия. Вещество, напоминающее пластилин. Цвет — от белого до коричневого. Продается небольшими кусочками шариками.",5,raw_opitz
14,Метадон,Метадон — сильный синтетический наркотик опийной группы. Продается в виде белого порошка или готового раствора. В некоторых странах разрешен как средство заместительной терапии при лечении опийной наркомании.,5,methadone
15,Марихуана,"Марихуана («травка», «шмаль», «анаша», «зелье»)- высушенная или сырая зеленая травянистая часть конопли. Светлые, зеленовато-коричневые размолотые листья и цветущие верхушки конопли. Может быть плотно спрессована в комки. Этот наркотик курят в виде сигарет-самокруток («косяков»), а также набивают в трубки, добавляют в пищу.",6,marijuana
16,Гашиш,"Гашиш («план», «дурь», «чернуха») — смесь смолы, пыльцы и измельченных верхушек конопли — смолистое вещество темно-коричневого цвета, похожее на пластилин, в виде брикетиков или капсул. Содержит более 20% каннабиоидов. Гашиш курят с помощью специальных приспособлений. Действие наркотика наступает через 10–30 минут после курения и может продолжатся несколько часов. ",6,hashish
17,Кокаин,"Кокаин («дутый», «кокс», «снег», «кока», «вдох», «конфетка для носа», «свисток», «снежинка») — белый кристаллический порошок, обычно вдыхаемый через трубку или соломку с гладкой поверхности, такой, как стекло или зеркало. Гидрохлорид кокаина легко растворяется в воде, поэтому его не только нюхают, но иногда вводят внутривенно или глотают.",8,cocaine
18,Крек,"Крек («камень») — хрупкие пластинки, образующиеся в результате смешения кокаина с пищевой содой и водой и выпаривания, используется для курения. Крэк чрезвычайно быстро вырабатывает как физическую, так и психологическую зависимость.",8,crack
19,ЛСД,"ЛСД («кислота», «марки», «промокашка», «красный дракон») — синтетический наркотик, производное лизергиновой кислоты, содержащейся в спорынье. Бесцветный порошок без запаха или прозрачная жидкость без запаха, цвета и вкуса. Жидкостью пропитывают разрисованную яркими рисунками бумагу или ткань. Кусочек ее кладется под язык, действие оказывает через 30–60 минут и продолжается до 12 часов. Оказывает огромный галлюциногенный эффект в малых концентрациях — 30г. ЛСД достаточно для 300 000 тысяч человек.",9,lsd
20,Грибы,"Псилоцин и псилоцибин («грибы», «поганки») — наркотические вещества, обладающие галлюциногенным эффектом. Содержаться в грибах-поганках. Для наступления наркотического эффекта достаточно принять 2 грамма сухих грибов. Главная опасность этого наркотика — его доступность.",9,mushrooms
21,Холодное оружие,Описание товара...,3,cold_weapons
22,Огнестрельное оружие,Описание товара...,3,firearms
23,Ядерное оружие,Описание товара...,3,mass_destruction
24,Биологическое оружие,Описание товара...,3,biological_weapons
25,Ракеты,Описание товара...,3,rockets
