id,product_id,storage_id,updated_at,count
1,11,3376,2021-06-22 17:58:18,13
2,37,4085,2021-04-14 19:29:30,33
3,29,641,2021-03-20 22:24:29,7
4,19,2698,2021-06-26 21:37:29,2
5,54,3898,2021-09-12 23:38:47,1
6,45,18,2021-10-26 23:17:23,10
7,36,1356,2021-05-27 00:34:24,45
8,2,1868,2021-03-30 12:56:01,37
9,14,1055,2021-09-25 17:36:56,7
10,8,1906,2021-01-08 04:23:20,37
11,32,1979,2021-05-06 04:00:37,24
12,37,1793,2021-07-06 12:15:33,13
13,29,851,2021-09-09 21:30:31,16
14,5,1561,2021-02-10 04:31:23,21
15,28,850,2021-01-26 15:48:47,11
16,51,4327,2021-02-01 12:41:18,1
17,52,1562,2021-01-21 18:44:45,1
18,6,4231,2021-01-18 02:32:38,19
19,5,123,2021-08-19 12:22:04,8
20,3,383,2021-04-16 23:56:38,7
21,37,3656,2021-04-18 18:45:47,25
22,18,3307,2021-07-26 19:41:45,11
23,23,4311,2021-08-11 04:32:58,1
24,29,2658,2021-01-10 12:49:25,6
25,37,2831,2021-03-17 01:56:32,35
26,19,2600,2021-05-17 06:15:59,4
27,3,2438,2021-09-13 07:00:44,18
28,26,1295,2021-08-25 20:05:29,11
29,7,1039,2021-09-17 14:24:27,11
30,44,3945,2021-04-05 11:44:04,1
31,7,2470,2021-05-03 10:53:09,7
32,21,871,2021-02-02 05:47:44,10
33,10,2296,2021-08-19 04:18:03,1
34,27,4054,2021-12-20 06:25:44,17
35,12,3059,2021-01-20 00:22:04,9
36,53,1371,2021-10-25 18:22:34,1
37,20,733,2021-01-08 10:51:30,9
38,29,1896,2021-09-30 21:41:50,20
39,33,2388,2021-11-14 15:39:53,32
40,20,4381,2021-03-17 13:42:04,15
41,30,260,2021-01-22 19:23:15,1
42,53,2651,2021-09-22 14:45:49,1
43,2,2651,2021-03-15 05:23:45,36
44,19,2650,2021-04-08 21:24:42,14
45,18,1161,2021-12-21 11:35:01,27
46,55,2248,2021-09-29 16:11:45,46
47,14,543,2021-04-14 23:48:59,18
48,15,2309,2021-06-14 12:38:20,8
49,38,1591,2021-12-21 11:37:50,37
50,41,3144,2021-12-07 16:29:59,1
51,18,3539,2021-05-28 20:31:30,37
52,18,2696,2021-11-06 18:03:15,28
53,3,805,2021-05-02 11:36:35,21
54,29,3826,2021-03-03 21:22:15,22
55,38,3462,2021-04-10 21:38:37,19
56,31,766,2021-08-04 08:51:34,14
57,53,4178,2021-11-08 19:36:48,1
58,11,3571,2021-12-03 18:31:26,11
59,6,439,2021-03-07 11:42:51,26
60,5,4567,2021-05-03 01:53:52,6
61,37,2865,2021-03-14 18:49:10,22
62,18,1402,2021-05-29 14:49:02,36
63,48,1738,2021-03-19 18:07:13,12
64,9,3292,2021-08-17 01:59:41,16
65,10,3625,2021-07-28 18:35:14,1
66,22,2379,2021-06-16 12:35:45,20
67,22,2784,2021-08-02 18:42:37,15
68,21,3228,2021-11-01 01:02:49,6
69,30,709,2021-06-03 00:20:16,28
70,26,598,2021-08-06 21:19:49,3
71,53,165,2021-06-15 15:47:51,1
72,53,2367,2021-05-07 21:58:49,1
73,54,4089,2021-12-28 09:44:46,1
74,50,2796,2021-06-26 10:28:09,7
75,16,3231,2021-03-08 23:40:57,4
76,31,61,2021-10-09 15:34:47,5
77,16,2369,2021-10-23 04:07:06,32
78,50,467,2021-08-18 15:53:31,1
79,49,975,2021-05-12 23:55:03,3
80,45,4382,2021-11-09 12:33:12,11
81,48,3600,2021-09-13 07:11:34,14
82,6,4536,2021-05-01 03:27:07,10
83,29,3311,2021-06-26 10:10:26,12
84,45,4384,2021-09-14 18:48:32,15
85,23,1901,2021-07-23 01:21:09,5
86,48,363,2021-12-18 01:22:01,7
87,46,3345,2021-09-14 05:45:50,9
88,38,1054,2021-11-30 22:43:03,41
89,4,2340,2021-09-12 23:26:05,27
90,34,3594,2021-11-23 19:51:21,39
91,45,2593,2021-03-12 01:32:19,2
92,21,1757,2021-09-18 20:39:23,25
93,16,2972,2021-02-17 19:32:52,23
94,38,838,2021-04-27 00:33:18,40
95,13,2823,2021-11-23 05:13:52,26
96,51,2291,2021-04-24 02:36:05,1
97,36,3600,2021-05-28 22:48:46,40
98,28,2746,2021-02-07 13:32:20,1
99,11,3372,2021-06-28 16:31:46,11
100,17,3483,2021-05-11 05:31:16,17
101,14,2979,2021-04-18 22:20:58,3
102,18,3781,2021-12-05 01:29:46,11
103,28,675,2021-09-10 00:14:03,7
104,14,2025,2021-04-16 16:16:56,29
105,18,2398,2021-07-08 06:25:25,21
106,17,3564,2021-09-15 16:01:51,22
