id,zone_id,safety_class_id,mentor_id,address
1,183,1,55201,"Manteca, Prairieview Circle 27"
2,303,6,42533,"Modesto, Carberry Point 46"
3,553,6,54346,"Pleasanton, Nova Road 89"
4,390,6,24687,"Chino Hills, Charing Cross Place 32"
5,798,3,20017,"Hughson, Hollow Ridge Crossing 17"
6,845,3,54820,"Turlock, Eastwood Alley 56"
7,897,6,42705,"San Bernardino, Bobwhite Drive 17"
8,669,6,20723,"Lawndale, Hovde Avenue 78"
9,527,2,39479,"Cerritos, Mosinee Lane 74"
10,499,1,45237,"Belvedere, Walton Parkway 34"
11,477,6,11333,"Oxnard, Scott Lane 89"
12,810,2,1139,"Burlingame, Fieldstone Alley 57"
13,456,5,12914,"Calipatria, Dakota Junction 22"
14,887,5,10871,"Laguna Woods, Tony Road 88"
15,611,6,31566,"Lake Forest, Bunker Hill Plaza 97"
16,490,2,19001,"Belvedere, Lunder Terrace 64"
17,952,4,43532,"Duarte, Northridge Park 44"
18,97,5,43570,"Paso Robles, Waywood Trail 85"
19,498,1,20444,"Seaside, Bonner Way 19"
20,48,5,25953,"Alhambra, Hazelcrest Avenue 78"
21,190,1,13922,"Benicia, Pine View Avenue 65"
22,111,7,378,"Vallejo, Arrowood Circle 56"
23,137,7,38523,"Lafayette, Corben Avenue 12"
24,192,4,43944,"Clearlake, Stephen Way 89"
25,812,1,3449,"South El Monte, Eagle Crest Drive 74"
26,768,7,27082,"Twentynine Palms, Nelson Alley 67"
27,266,6,46124,"Yreka, Sunbrook Junction 34"
28,161,3,48405,"Canyon Lake, Express Street 53"
29,105,1,27642,"Placerville, Morningstar Way 48"
30,498,3,58599,"Bellflower, Warner Junction 88"
31,646,2,55536,"San Ramon, Gateway Avenue 62"
32,568,4,17922,"Murrieta, Parkside Point 29"
33,559,5,55437,"Hidden Hills, La Follette Parkway 2"
34,520,5,57837,"Lakewood, Forest Run Plaza 94"
35,473,2,44672,"Lathrop, Kedzie Center 76"
36,904,6,15360,"Lodi, Stang Place 48"
37,744,4,51769,"Thousand Oaks, Westridge Drive 50"
38,23,5,54522,"San Bruno, Rusk Center 90"
39,231,6,14993,"Arroyo Grande, Florence Road 27"
40,238,3,24904,"Live Oak, Shasta Avenue 92"
41,341,1,4610,"Oroville, Cherokee Plaza 68"
42,236,3,12778,"Murrieta, Becker Way 65"
43,934,5,3652,"Mammoth Lakes, Fuller Park 12"
44,594,3,58908,"Los Gatos, Banding Trail 65"
45,200,7,553,"Lomita, Sloan Road 25"
46,636,7,46345,"Newark, Ramsey Alley 92"
47,769,6,40313,"Soledad, Roxbury Alley 92"
48,31,4,38983,"Coachella, Fallview Parkway 0"
49,85,6,33011,"Fremont, Johnson Place 75"
50,682,3,27867,"Temecula, Spenser Pass 7"
51,678,5,200,"McFarland, Northfield Place 65"
52,354,6,52676,"Carlsbad, Sunnyside Plaza 79"
53,724,5,24184,"Walnut, Thackeray Court 51"
54,775,3,10936,"Pinole, Clemons Pass 68"
55,891,6,24457,"Imperial Beach, Sachtjen Point 41"
56,458,4,16473,"San Clemente, Hoard Avenue 0"
57,444,2,47860,"Biggs, Troy Drive 72"
58,588,2,59721,"Indio, Dunning Street 30"
59,683,6,21169,"Angels Camp, Bashford Crossing 51"
60,762,2,11570,"Calimesa, Red Cloud Point 61"
61,166,4,40529,"Delano, Basil Lane 99"
62,178,2,12205,"Gardena, Jana Hill 4"
63,343,5,7242,"Laguna Beach, Kinsman Parkway 27"
64,732,4,13368,"Signal Hill, Northport Plaza 37"
65,242,5,5773,"Pacifica, Sloan Circle 65"
66,389,4,39613,"West Covina, Ridgeview Point 38"
67,495,4,51019,"Rialto, David Terrace 10"
68,183,2,20475,"Coalinga, Esch Avenue 88"
69,846,6,40792,"Martinez, Cardinal Point 93"
70,764,2,39869,"Martinez, Loomis Circle 2"
71,531,1,59196,"Ontario, Express Way 70"
72,71,3,1573,"Westlake Village, Golden Leaf Crossing 50"
73,125,5,56257,"Costa Mesa, Bartillon Park 55"
74,503,2,22554,"Milpitas, Shasta Center 12"
75,279,1,25199,"Los Alamitos, Hermina Road 97"
76,941,3,55397,"South Lake Tahoe, Mallory Place 66"
77,320,3,26994,"Plymouth, Pankratz Alley 30"
78,656,2,28968,"Carson, Melody Point 13"
79,796,3,13265,"West Covina, Vernon Court 52"
80,956,1,49933,"Galt, Hayes Park 50"
81,638,1,13660,"Simi Valley, Shasta Road 6"
82,597,7,30321,"Nevada City, Clemons Place 96"
83,696,2,3818,"Holtville, Lakewood Gardens Parkway 72"
84,527,4,57611,"Cathedral City, Dunning Trail 12"
85,990,3,22236,"Del Rey Oaks, Mitchell Drive 82"
86,316,7,16250,"Orland, Dorton Plaza 15"
87,942,2,48077,"Laguna Hills, Bunting Avenue 89"
88,138,1,42508,"Lincoln, Heffernan Crossing 8"
89,491,4,57524,"Vista, La Follette Street 68"
90,342,6,24146,"Williams, Commercial Trail 21"
91,709,6,20957,"La Puente, Pierstorff Court 37"
92,21,5,31652,"Montclair, Buell Park 77"
93,951,4,22488,"Lakewood, Everett Hill 9"
94,102,4,10610,"Azusa, Trailsway Point 50"
95,191,4,47947,"Dos Palos, Bay Circle 82"
96,904,8,58971,"Corona, Hauk Center 54"
97,290,7,20500,"Dunsmuir, Vernon Junction 19"
98,112,4,17338,"Orland, Ridgeway Avenue 62"
99,898,7,7423,"Trinidad, Prairieview Lane 68"
100,273,3,6881,"Pismo Beach, Swallow Road 19"
