id,code_name,country,capital_address,tutor_id
1,yxix07qijp,Liberia,"Artesia, Golden Leaf Drive 75",3433
2,kuca063dr7,Vatican City State (Holy See),"San Ramon, Glacier Hill Point 18",2823
3,h0f9fuxqzm,Haiti,"Maywood, Vernon Place 76",8235
4,7phjx5dgo0,Niger,"Cathedral City, Lawn Court 52",7667
5,93zsb035sh,Morocco,"Ridgecrest, Northfield Trail 58",27411
6,501yus7pxy,Kuwait,"Etna, Bobwhite Alley 48",48515
7,0noqer3q7p,Brunei Darussalam,"Villa Park, Becker Terrace 94",38945
8,xcriglqzeb,Kiribati,"Concord, Pepper Wood Street 38",26367
9,ivkoebfn6k,Romania,"Pinole, Gina Trail 70",20529
10,sx5gkzro6t,Zambia,"Plymouth, Norway Maple Road 3",37918
11,okp173io7z,Saint Pierre and Miquelon,"Vallejo, Lotheville Alley 56",9321
12,rgqe88o7lq,Mexico,"Dorris, Moose Center 70",6035
13,65h223ve6i,Timor-Leste,"Aliso Viejo, Nancy Street 44",26263
14,gxasb3xhj9,Seychelles,"Costa Mesa, Sunnyside Place 96",30481
15,5cezvmy7vf,Bulgaria,"Livermore, Blaine Point 14",11143
16,09bmpnz4nr,Cambodia,"Firebaugh, Manufacturers Circle 37",25061
17,8icmri12jz,Serbia,"Hawaiian Gardens, Carpenter Alley 22",10420
18,6phek9zehu,Guatemala,"Cathedral City, Bellgrove Plaza 39",7962
19,qv4jeq5m89,Tajikistan,"Colusa, Grasskamp Crossing 9",28348
20,4mb8zfk1dr,Bahrain,"Novato, Sugar Avenue 9",40439
21,49x1xl8uvf,Honduras,"Del Rey Oaks, Helena Alley 28",16487
22,vzsvjmm03x,Maldives,"Santa Clara, Linden Drive 85",28142
23,htj104zq08,Palau,"Piedmont, Vidon Place 67",32032
24,h0i73ghtix,Turkey,"Holtville, Towne Lane 61",37478
25,0vyqifchgn,Burkina Faso,"Belmont, Mitchell Place 94",45874
26,j63ekho0zm,Hungary,"Hemet, Vahlen Crossing 51",46777
27,ldyvyckej3,Gabon,"Novato, Kropf Trail 67",40493
28,5yhuxl1lyy,Malawi,"Lemon Grove, Shoshone Circle 16",684
29,4257t01t02,Afghanistan,"Dana Point, Vahlen Crossing 26",10619
30,8oentv04io,Svalbard and Jan Mayen Islands,"Burlingame, Waywood Point 99",36475
31,6s8oyfedh4,Armenia,"Pismo Beach, Bartelt Lane 81",16074
32,uyhrk95ag8,Niger,"Stanton, Montana Way 87",21436
33,u95nokp6ol,Germany,"Los Angeles, Buell Street 75",45484
34,nq1g0il702,Wallis and Futuna Islands,"Monte Sereno, Melrose Alley 40",8196
35,a2x2vbfnf3,South Africa,"Signal Hill, New Castle Center 83",38741
36,jnhp7o2mh0,New Caledonia,"Richmond, Linden Point 3",13028
37,2xjk9ikwy4,Lesotho,"Torrance, Sheridan Lane 11",58632
38,00yb62hjw3,Honduras,"El Segundo, Manufacturers Lane 2",34517
39,fknjszbvfh,Kyrgyzstan,"Hermosa Beach, Warrior Court 17",16478
40,ektadtowno,"Korea, North","Apple Valley, Atwood Road 33",5624
41,t2g38qc65u,"Korea, South","Hanford, Forster Hill 35",57093
42,4nk12127of,Japan,"Loyalton, Anzinger Hill 74",19947
43,bp45lddn81,France,"Hermosa Beach, Hanson Court 10",42797
44,fdhzdv8oii,Gabon,"Los Alamitos, Lighthouse Bay Circle 20",50900
45,zkf2c7iygf,Guyana,"Lafayette, Eagan Drive 10",20226
46,ylbczaq5uy,France,"Rancho Mirage, Pawling Park 55",27179
47,vyiioyocvm,Dominican Republic,"Marysville, Annamark Crossing 27",20916
48,nhyyuvurxn,Liberia,"Chowchilla, Buena Vista Plaza 62",38044
49,bqpe1t33g7,Croatia,"Laguna Beach, Randy Circle 25",26127
50,jqdk23x03k,Grenada,"Lakewood, Vidon Hill 63",37958
51,1byaplnyg0,Zambia,"Mission Viejo, Merry Center 34",33113
52,hrkzczz431,South Georgia and the South Sandwich Islands,"Duarte, Fisk Plaza 13",50877
53,o4c21wmorn,Madagascar,"Needles, Harper Point 61",2015
54,k3afeftydo,Martinique,"Goleta, Harbort Way 27",34970
55,ditvjeuqpi,Kiribati,"Escalon, Arizona Lane 49",29218
56,e2oezy4iw2,Mongolia,"Orinda, Fairview Crossing 74",29062
57,wouy6pm2wh,Puerto Rico,"Saratoga, Russell Drive 84",4948
58,mv069jxg47,Hong Kong,"Rancho Cordova, Kinsman Way 71",19367
59,wsv8t0m3c4,Oman,"San Bernardino, Stang Junction 39",46089
60,quaeyxjnbu,Laos,"Livermore, Marcy Park 82",41113
61,x5k8ajrymh,Iran,"Isleton, Michigan Street 87",2750
62,noyop076l4,Zambia,"Ross, Dawn Hill 46",43243
63,nmijiixcyz,Israel,"San Bernardino, Onsgard Terrace 11",49030
64,ypj96j5e5n,Guernsey,"Montebello, Manufacturers Hill 28",55045
65,cr2ngkgj0g,Mali,"Dorris, Cardinal Hill 29",43827
66,gjad6sksr4,Malta,"Plymouth, Dovetail Pass 52",21610
67,ef4dat3n96,Hong Kong,"Lake Forest, Merchant Alley 38",4276
68,ilpivwvvt1,Benin,"Citrus Heights, Katie Alley 61",23530
69,2vmokw37zq,Bahamas,"Dos Palos, Rigney Lane 80",12612
70,jv2nhdc82t,Australia,"San Anselmo, Mockingbird Pass 94",20644
71,9gxpptroqg,Turkey,"South Gate, Farmco Hill 99",16726
72,454j4bb1zb,Bermuda,"San Francisco, Artisan Alley 88",31751
73,sibqv4caca,Micronesia,"Fillmore, Dunning Drive 63",54974
74,b338sz2t9x,Nicaragua,"Fresno, Cody Parkway 47",59623
75,9blgvk5mqx,Seychelles,"Los Banos, Park Meadow Place 17",20568
76,41tsg1qpdm,Dominican Republic,"San Bernardino, Village Pass 47",8266
77,yjj940z5uw,Jamaica,"East Palo Alto, Monterey Street 80",44413
78,bx5os465sm,Bulgaria,"Tracy, Elgar Drive 11",11668
79,stywlsc2rf,British Virgin Islands,"Etna, Ridge Oak Way 21",15127
80,7yeqrqfcxq,Tanzania,"West Covina, Twin Pines Circle 92",11346
81,ps0usax46i,American Samoa,"Coachella, Saint Paul Park 32",8334
82,akx6oeypsc,Norway,"Sutter Creek, Mcbride Parkway 12",11678
83,81rtqexqdp,Morocco,"Highland, Bunker Hill Terrace 1",48909
84,zwxud75obg,Gibraltar,"Vacaville, Summerview Park 28",59991
85,n7uknayh8i,Wallis and Futuna Islands,"Mount Shasta, Elka Plaza 14",51208
86,5qjmqle710,Vatican City State (Holy See),"Burbank, Westridge Lane 71",586
87,kzfumbmj53,Christmas Island,"Santa Clara, Old Gate Court 28",50488
88,2t7pys01yw,Saint Helena,"Baldwin Park, Kingsford Drive 48",52481
89,wt50bizhru,"Congo, Democratic Republic of","Placerville, Morningstar Street 83",2555
90,bi7evkf514,Zimbabwe,"Colma, Thackeray Hill 74",43383
91,4tbbu4tk74,Marshall Islands,"La Habra, Bashford Circle 95",49939
92,59hplepphk,Guadeloupe,"Solana Beach, Caliangt Junction 46",34502
93,23njchymeh,Argentina,"Bell Gardens, Browning Crossing 56",57399
94,nt3oxyomdc,Croatia,"American Canyon, Crest Line Point 13",57257
95,kc1i44wssj,Japan,"Tehachapi, Harbort Point 95",48994
96,sj6xm9e7gf,Palau,"Paso Robles, Badeau Drive 2",40705
97,xtcew40ym8,Malaysia,"Santa Rosa, Jay Crossing 96",13760
98,m5dpi2oyp4,Nauru,"Pleasant Hill, Sachs Point 72",3409
99,lkixf6jrw9,New Caledonia,"Montclair, Fulton Plaza 29",40263
100,mdg7jnr80b,Tajikistan,"Biggs, Prairieview Alley 14",10663
101,rn56igp9tw,Madagascar,"Fillmore, Sachs Parkway 88",32561
102,jx6rtieua1,Turkey,"Lafayette, Rusk Trail 87",29352
103,ry3qwxbkdh,Macedonia,"Rio Dell, Blaine Trail 6",28714
104,41ibcwa3d6,Turkmenistan,"Tulelake, Calypso Crossing 45",56380
105,8dc7ps50dm,Greece,"Redding, Algoma Trail 46",55208
106,9bh7mdky9a,Sweden,"Escalon, Ridgeview Road 62",27892
107,a3dy1pi425,Uruguay,"Rocklin, Welch Terrace 24",19795
108,6w7ifwjmjq,Iraq,"Tulelake, Portage Plaza 7",34368
109,f84c9jslcr,Lithuania,"Cypress, Dapin Road 91",5505
110,5ddyke9nnt,Central African Republic,"Walnut Creek, Redwing Road 26",34425
111,zoppiff7mz,Saint Martin,"Fresno, Walton Street 85",48099
112,euak7w4vvb,Tokelau,"Red Bluff, Iowa Way 64",37818
113,13qrny2bar,Guinea,"Fairfax, Thackeray Hill 60",39461
114,ixrj5dz3ba,Swaziland,"Cudahy, Pankratz Plaza 28",40504
115,cvl7fneo0p,Brunei Darussalam,"Palm Springs, Hansons Way 88",26756
116,bwfh7rh14s,Austria,"Claremont, Gina Parkway 55",25918
117,8qfs52w8te,Colombia,"Imperial Beach, Hovde Drive 40",31802
118,7c4324jdq0,Kazakhstan,"Orange Cove, Homewood Road 66",22824
119,0axp8wcai9,Ukraine,"Carpinteria, Vahlen Place 11",2030
120,fvbyu1tunn,Kyrgyzstan,"Portola Valley, Dovetail Pass 64",1292
121,zlkywzsuzq,Solomon Islands,"Irwindale, Derek Road 98",36156
122,evdf50mn6n,Qatar,"Modesto, Anthes Street 20",51402
123,d9lunb0jmj,Serbia,"South Gate, Vermont Point 52",22944
124,fjguql29a1,Bosnia and Herzegovina,"Dinuba, Pine View Plaza 35",24148
125,abwz0s6fvs,"Congo, Democratic Republic of","Sebastopol, Rockefeller Circle 13",48099
126,9s49ugbw8g,Djibouti,"Vacaville, 2nd Circle 8",30507
127,jh3umq268o,Saint Lucia,"Belvedere, Dixon Center 92",6787
128,wdsa0nrm1m,Andorra,"Hesperia, Delaware Center 14",41998
129,efcuf67167,Montserrat,"Monterey Park, Roth Place 84",45085
130,ppzicjd9l5,Iceland,"San Gabriel, Elmside Lane 91",14415
131,cv6art53ab,Peru,"Fullerton, Golf Point 12",1811
132,p6q8ca0h7r,Cote d'Ivoire,"Bell, Hoard Trail 70",33536
133,7359rtqgrb,Swaziland,"Montague, Crowley Road 43",47315
