Belaya, 19; 240.0; 2; 246188; 1; 2020; 2; 1; 1
Injenerov, 21; 27.4; 1; 140272; 0; 0
Stroiteley, 6; 123.2; 3; 73390; 0; 1
Romanova, 28; 62.9; 1; 298908; 0; 1
Baumanskaya, 26; 273.5; 5; 255831; 1; 1945; 3; 2; 1
Suzdalskaya, 19; 250.1; 6; 89820; 1; 1960; 1; 1; 1
Romanova, 6; 43.3; 1; 256051; 1; 1990; 4; 6; 0
Mira, 38; 227.0; 3; 209229; 1; 1994; 1; 1; 0
Baumanskaya, 35; 190.3; 2; 284157; 1; 1964; 4; 6; 1
Druzhby, 7; 151.4; 1; 179862; 0; 1
Tverskaya, 24; 129.3; 1; 166330; 0; 0
Stroiteley, 6; 125.4; 1; 209505; 0; 0
Lesnaya, 21; 21.1; 1; 214812; 0; 0
Belaya, 26; 67.0; 1; 165040; 0; 0
Romanova, 22; 107.5; 1; 284408; 0; 0
Romanova, 8; 132.3; 1; 132953; 0; 0
Belaya, 32; 188.8; 2; 165025; 1; 1986; 3; 4; 0
Stroiteley, 36; 18.9; 1; 214670; 1; 1981; 3; 5; 1
Flotskaya, 23; 156.8; 1; 137388; 0; 0
Lomonosova, 30; 175.2; 1; 225884; 1; 1964; 4; 6; 1
Belaya, 38; 58.2; 1; 188038; 0; 1
Suzdalskaya, 7; 128.3; 1; 99944; 1; 1949; 4; 5; 0
Druzhby, 29; 257.9; 7; 258806; 0; 1
Druzhby, 32; 77.5; 1; 84048; 1; 1958; 2; 2; 1
Saltykova, 38; 277.1; 3; 275614; 0; 1
Injenerov, 28; 156.2; 1; 296401; 0; 1
Tverskaya, 2; 133.0; 2; 223262; 0; 1
Suzdalskaya, 31; 85.8; 1; 296741; 1; 1942; 3; 6; 1
Baumanskaya, 37; 17.5; 1; 263065; 1; 1970; 1; 4; 0
Injenerov, 15; 195.7; 4; 212487; 1; 2007; 2; 1; 0
Stroiteley, 28; 130.5; 1; 81494; 1; 1947; 4; 1; 0
Mira, 23; 272.0; 2; 206878; 0; 0
Zhiguley, 13; 38.6; 1; 274336; 1; 1946; 2; 5; 1
Flotskaya, 25; 112.2; 1; 269336; 1; 2016; 4; 2; 0
Stroiteley, 13; 199.4; 3; 98017; 0; 1
Baumanskaya, 6; 32.1; 1; 124647; 0; 0
Saltykova, 38; 236.9; 2; 94523; 0; 0
Romanova, 12; 139.4; 2; 172737; 0; 1
Mira, 33; 49.4; 1; 170445; 1; 1961; 4; 6; 0
Belaya, 25; 28.8; 1; 295483; 0; 0
Lesnaya, 19; 135.9; 1; 219234; 0; 1
Suzdalskaya, 32; 209.5; 2; 168877; 1; 1943; 2; 6; 1
Zhiguley, 3; 150.6; 3; 266674; 1; 1984; 3; 6; 0
Stroiteley, 13; 98.1; 2; 157739; 0; 1
Lesnaya, 9; 136.8; 2; 284451; 1; 1963; 2; 1; 0
Suzdalskaya, 15; 146.4; 4; 144767; 1; 1985; 4; 1; 1
Suzdalskaya, 36; 243.2; 2; 88308; 0; 0
Suzdalskaya, 28; 234.7; 2; 72404; 1; 1975; 4; 4; 0
Romanova, 31; 113.0; 1; 115076; 1; 2008; 4; 3; 0
Belaya, 29; 154.1; 5; 160883; 0; 1
Belaya, 27; 114.9; 2; 135884; 0; 1
Baumanskaya, 6; 20.0; 1; 119326; 0; 0
Baumanskaya, 1; 174.7; 2; 267606; 1; 2018; 1; 3; 1
Injenerov, 22; 145.8; 1; 76765; 0; 0
Belaya, 10; 91.0; 1; 232778; 1; 2016; 2; 6; 0
Lomonosova, 22; 237.5; 3; 197201; 0; 1
Suzdalskaya, 21; 27.9; 1; 161632; 1; 1971; 1; 5; 1
Baumanskaya, 11; 192.4; 2; 135381; 0; 0
Belaya, 36; 264.0; 7; 171167; 0; 0
Flotskaya, 7; 177.2; 3; 224353; 1; 1990; 4; 6; 0
Romanova, 2; 121.2; 2; 77769; 1; 2014; 2; 1; 1
Saltykova, 22; 129.2; 1; 229838; 1; 2001; 3; 3; 1
Druzhby, 21; 45.1; 1; 136600; 1; 1982; 1; 2; 1
Romanova, 24; 95.2; 2; 106985; 1; 1977; 2; 5; 1
Romanova, 40; 224.3; 2; 160700; 1; 2002; 2; 2; 1
Tverskaya, 17; 42.6; 1; 163499; 0; 0
Tverskaya, 14; 136.5; 2; 127727; 1; 1943; 2; 1; 0
Lomonosova, 40; 233.2; 4; 125608; 1; 2016; 3; 3; 1
Stroiteley, 6; 261.8; 3; 151069; 0; 0
Tverskaya, 34; 211.0; 3; 111777; 0; 1
Zhiguley, 14; 75.8; 1; 292058; 1; 1980; 4; 4; 0
Suzdalskaya, 1; 256.3; 7; 73335; 1; 1952; 4; 5; 0
Stroiteley, 19; 166.8; 3; 249775; 0; 1
Saltykova, 22; 241.9; 4; 243378; 0; 0
Romanova, 22; 247.7; 7; 125602; 1; 1971; 4; 3; 0
Lesnaya, 35; 240.6; 2; 160539; 1; 2015; 3; 6; 1
Flotskaya, 33; 120.6; 1; 265530; 0; 1
Lesnaya, 34; 189.2; 2; 291846; 1; 1941; 1; 3; 0
Suzdalskaya, 29; 269.2; 3; 166542; 1; 1983; 2; 5; 0
Flotskaya, 34; 203.6; 3; 223368; 1; 1959; 1; 4; 1
Saltykova, 31; 90.7; 1; 176413; 0; 0
Flotskaya, 5; 226.6; 4; 126025; 0; 1
Mira, 21; 164.2; 1; 211799; 1; 2020; 2; 3; 1
Tverskaya, 37; 113.4; 2; 79038; 1; 1996; 3; 1; 1
Mira, 30; 179.2; 1; 103606; 1; 1988; 3; 6; 0
Lesnaya, 36; 33.0; 1; 279074; 1; 1987; 1; 1; 1
Injenerov, 35; 249.5; 2; 275556; 0; 0
Lesnaya, 24; 88.6; 2; 92487; 0; 0
Romanova, 17; 184.7; 4; 70685; 0; 1
Lesnaya, 33; 137.5; 2; 192432; 1; 1948; 1; 6; 1
Tverskaya, 37; 118.4; 1; 200929; 1; 1950; 2; 6; 1
Lomonosova, 14; 174.6; 1; 153557; 1; 2013; 3; 1; 0
Injenerov, 19; 176.6; 2; 104658; 1; 1990; 3; 6; 1
Druzhby, 36; 234.9; 3; 107730; 1; 1982; 3; 5; 0
Tverskaya, 19; 107.0; 1; 297395; 1; 1973; 2; 6; 1
Stroiteley, 13; 132.1; 2; 171941; 1; 1961; 1; 1; 1
Lesnaya, 16; 40.4; 1; 113841; 1; 2002; 1; 4; 0
Romanova, 21; 234.4; 6; 144183; 1; 1984; 1; 2; 0
Baumanskaya, 36; 196.7; 3; 282824; 0; 1
Suzdalskaya, 40; 150.2; 4; 113113; 1; 1989; 2; 1; 1
Lomonosova, 23; 155.9; 2; 169498; 0; 0
Suzdalskaya, 11; 55.7; 1; 248780; 0; 1
Lomonosova, 35; 159.2; 2; 192616; 0; 0
Baumanskaya, 27; 82.6; 1; 99526; 0; 0
Belaya, 5; 29.1; 1; 92346; 0; 1
Mira, 23; 195.2; 2; 130761; 0; 1
Romanova, 23; 166.6; 4; 248534; 0; 0
Tverskaya, 25; 149.0; 3; 157361; 1; 1942; 4; 5; 0
Lesnaya, 15; 219.4; 2; 97147; 0; 1
Druzhby, 1; 253.1; 3; 122611; 0; 0
Baumanskaya, 7; 247.3; 2; 84206; 1; 1962; 3; 4; 1
Druzhby, 20; 155.6; 1; 129632; 0; 1
Zhiguley, 12; 206.2; 4; 79100; 1; 1957; 2; 1; 1
Zhiguley, 18; 209.0; 4; 116507; 0; 0
Belaya, 33; 99.0; 2; 216646; 1; 1952; 4; 3; 0
Flotskaya, 37; 154.3; 1; 107405; 1; 1995; 3; 2; 1
Mira, 24; 263.9; 3; 76094; 1; 1991; 4; 6; 0
Flotskaya, 36; 46.6; 1; 202715; 1; 2006; 4; 5; 1
Lesnaya, 19; 69.5; 1; 107696; 1; 1993; 2; 1; 1
Suzdalskaya, 30; 218.6; 2; 235479; 1; 1971; 4; 2; 0
Druzhby, 36; 263.4; 3; 134753; 1; 1966; 2; 4; 1
Belaya, 5; 77.4; 1; 123737; 1; 1979; 2; 1; 0
Stroiteley, 19; 81.6; 1; 256084; 1; 1947; 2; 4; 1
Belaya, 19; 177.6; 2; 204967; 0; 0
Flotskaya, 2; 56.2; 1; 223396; 0; 1
Romanova, 32; 113.0; 2; 299739; 1; 1943; 1; 2; 0
Stroiteley, 37; 74.1; 1; 247825; 1; 1978; 4; 1; 1
Tverskaya, 25; 185.9; 2; 248310; 1; 1956; 4; 5; 1
