Injenerov, 5; -184.3; 3; 209209; 1; 1950; 2; 3; 0
Druzhby, 40; 39.8; 1; 194725; 0; 0
Baumanskaya, 25; 187.4; 7; 212941; 0; 1
Tverskaya, 5; 244.8; 4; 70428; 1; 2019; 3; 6; 0
Belaya, 2; 236.8; 2; 271034; 1; 1959; 4; 5; 0
Flotskaya, 29; 189.3; 2; 85812; 1; 1973; 1; 1; 0
Suzdalskaya, 18; 134.9; 2; 144425; 1; 1993; 1; 4; 1
Mira, 3; 68.4; 1; 163359; 1; 1955; 2; 3; 0
Romanova, 27; 78.2; 1; 242121; 1; 1978; 2; 4; 0
Injenerov, 28; 48.4; 1; 215350; 0; 0
Druzhby, 19; 144.5; 8; 220440; 0; 1
Injenerov, 20; 241.1; 3; 173025; 1; 2008; 2; 1; 0
Lesnaya, 14; 239.4; 4; 257122; 0; 0
Romanova, 18; 257.4; 9; 268226; 1; 1973; 2; 4; 0
Injenerov, 34; 142.1; 2; 162647; 0; 0
Zhiguley, 36; 21.6; 1; 197904; 1; 1951; 2; 1; 0
Lesnaya, 20; 26.5; 1; 82468; 0; 0
Mira, 23; 119.7; 5; 131144; 0; 1
Druzhby, 39; 278.7; 4; 254228; 0; 1
Romanova, 9; 181.1; 2; 183976; 0; 1
Druzhby, 17; 176.2; 3; 194011; 0; 1
Belaya, 23; 66.4; 1; 113615; 1; 1992; 1; 2; 1
Mira, 20; 272.8; 9; 222739; 0; 0
Flotskaya, 37; 123.3; 1; 86736; 0; 0
Suzdalskaya, 2; 271.0; 3; 183637; 0; 0
Mira, 2; 229.6; 3; 297263; 0; 1
Zhiguley, 34; 177.7; 8; 285776; 1; 1979; 3; 6; 0
Suzdalskaya, 35; 105.9; 2; 154525; 1; 2018; 1; 5; 1
Belaya, 8; 65.8; 1; 184079; 1; 1973; 2; 6; 0
Suzdalskaya, 39; 114.8; 1; 221425; 0; 0
Saltykova, 23; 19.7; 1; 288304; 1; 1955; 2; 3; 0
Injenerov, 27; 76.3; 1; 70178; 0; 1
